Judul,Lokasi,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Lokasi_Clean,Deskripsi_Clean,Keywords_Clean,Image_Link,Property_Link
RUMAH DEKAT KAMPUS UNY DI CONDONGCATUR SLEMAN AMAN BANJIR,"Condong Catur, Sleman",15000000000,4,2,1,150,145,0.01504073,0.030612245,0.005319149,0,0.000124167,0.000123077,rumah dekat kampus uny condongcatur sleman aman banjir,condong catur sleman,lokasi dekat pamella 6 condong catur sleman yogyakarta rumah minimal modern kawasan,rumah dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/2070828/252c6feab75269b685188d21ad36e9f0.jpg,https://www.rumah123.com/properti/sleman/hos17930537/
Rumah Mewah Siap Huni Dalam Cluster Elite Jalan Palagan Sardonoharjo Ngaglik Sleman Yogyakarta,"Ngaglik, Sleman",2.95E+11,4,4,2,204,200,0.296457664,0.030612245,0.015957447,0.034482759,0.000169167,0.000170086,rumah mewah siap huni cluster elite jalan palagan sardonoharjo ngaglik sleman yogyakarta,ngaglik sleman,rumah mewah siap huni cluster elite jalan palagan sardonoharjo ngaglik sleman yogyakarta rumah,rumah siap huni,https://picture.rumah123.com/r123-images/720x420-crop/customer/2070828/06577461fded507361f0e366fb23c019.jpg,https://www.rumah123.com/properti/sleman/hos18185394/
Rumah Murah Gratis Semua Biaya Di Turi Sleman,"Turi, Sleman",420000000,2,1,1,90,36,0.000386948,0.010204082,0,0,7.42E-05,2.99E-05,rumah murah gratis semua biaya turi sleman,turi sleman,rumah murah sleman 13 menit timur polres sleman harga paling murah 400jt an gratis,rumah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1796076/ae80387ab8bf59e24d72abb959ec08ca.png,https://www.rumah123.com/properti/sleman/hos18649047/
"Rumah Full Furnished Dalam Perumahan Di Ngaglik, Sleman","Ngaglik, Sleman",1.49E+11,4,3,1,104,136,0.149718834,0.030612245,0.010638298,0,8.58E-05,0.000115385,rumah full furnished rumah ngaglik sleman,ngaglik sleman,cluster damai jakal lokasi ngaglik kab sleman yogyakarta rumah 2 lantai jual cluster,rumah full furnished dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1796076/23fa95b6733c23512d74b8ca561683f4.png,https://www.rumah123.com/properti/sleman/hos18448186/
"Limasan Etnic, Modern Dengan View Indah di Dekat Candi Prambanan","Prambanan, Sleman",699000000,2,2,2,168,98,0.00066736,0.010204082,0.005319149,0.034482759,0.000139167,8.29E-05,limas etnic modern view indah dekat candi prambanan,prambanan sleman,huni nyaman konsep villa view indah sawah sungai selatan candi prambanan tinggal 1 unit,rumah dekat tempat ibadah,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/a39a90684e3e544eaf8aefcdabe1176c.jpg,https://www.rumah123.com/properti/sleman/hos18169365/
Rumah Proses Bangun di Tamantirto Kasihan Bantul,"Kasihan, Bantul",650000000,3,2,1,143,75,0.000618112,0.020408163,0.005319149,0,0.000118333,6.32E-05,rumah proses bangun tamantirto kasihan bantul,kasihan bantul,rumah siap huni modern proses bangun tamantirto kasihan bantul spesifikasi luas tanah 143 m luas,rumah siap huni dekat sekolah,https://pic.rumah123.com/r123/720x420-crop/house/ho49/4962907/original/hos4962907-rumah-di-jual-di-kalasan-sleman-15783578472211.jpg,https://www.rumah123.com/properti/sleman/hos4962907/
Rumah Cantik Modern 2 Lantai Dalam Perumahan Di Jalan Raya Tajem,"Ngemplak, Sleman",1.55E+11,3,2,2,110,80,0.155749197,0.020408163,0.005319149,0.034482759,9.08E-05,6.75E-05,rumah cantik modern 2 lantai rumah jalan raya tajem,ngemplak sleman,hara residence lokasi ngemplak kabupaten sleman daerah istimewa yogyakarta 55584 rumah mewah,rumah dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/7a954e900fbecf28738a92bb8dfd9f6a.jpg,https://www.rumah123.com/properti/sleman/hos18527021/
"Rumah Murah, 2 Lantai, Dekat Kampus Upn Di Maguwoharjo","Depok, Sleman",1.78E+11,4,3,1,118,160,0.178865588,0.030612245,0.010638298,0,9.75E-05,0.000135898,rumah murah 2 lantai dekat kampus upn maguwoharjo,depok sleman,pugeran mansion lokasi depok kab sleman yogyakarta jual rumah 2 unit bangun 2 lantai desain,rumah dekat akses transportasi dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/6cef9c472d3ca35cbc55ad31da68532d.jpg,https://www.rumah123.com/properti/sleman/hos18527120/
Rumah Baru Murah SHM Daerah Imogiri Timur Di Bantul,"Jetis, Bantul",295000000,2,1,1,66,36,0.000261316,0.010204082,0,0,5.42E-05,2.99E-05,rumah baru murah shm daerah imogiri timur bantul,jetis bantul,bhumi mataram lokasi jetis kabupaten bantul yogyakarta 55781 rumah paling laris sindet,rumah dekat akses transportasi dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/4bae032013db0beac998caf6c400425d.jpg,https://www.rumah123.com/properti/sleman/hos18527279/
Rumah Modern Kontenporer Mezzanine Di Godean Dalam Perumahan,"Godean, Sleman",670000000,3,1,1,80,47,0.000638213,0.020408163,0,0,6.58E-05,3.93E-05,rumah modern kontenporer mezzanine godean rumah,godean sleman,rumah modern kontenporer mezzanine godean rumah rumah siap bangun design kontenporer,rumah dekat pusat belanja dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/5f83932afcaf47d3df35de9af4a77745.jpg,https://www.rumah123.com/properti/sleman/hos18533017/
Rumah Subsidi Cicilan Ringan Dekat Pasar Ngijon,"Moyudan, Sleman",200000000,2,1,1,60,30,0.000165835,0.010204082,0,0,4.92E-05,2.48E-05,rumah subsidi cicil ringan dekat pasar ngijon,moyudan sleman,bait jannati lokasi moyudan kabupaten sleman yogyakarta 55563 rumah subsidi kota sleman,rumah subsidi dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/b68a7a7392c233de769274e78c8dd46a.jpg,https://www.rumah123.com/properti/sleman/hos18526579/
Rumah Murah Dp Ringan Free Semua Biaya Di Pajangan Bantul,"Pajangan, Bantul",210000000,2,1,1,60,30,0.000175886,0.010204082,0,0,4.92E-05,2.48E-05,rumah murah dp ringan free semua biaya pajang bantul,pajang bantul,cluster triwidadi pajang lokasi pajang bantul yogyakarta spesifikasi luas bangun 30m,rumah dekat sekolah dekat tempat wisata,https://pic.rumah123.com/r123/720x420-crop/house/ho55/5566240/original/hos5566240-rumah-di-jual-di-gamping-sleman-16050548636651.jpg,https://www.rumah123.com/properti/sleman/hos5566240/
RUMAH MURAH SIAP HUNI DEKAT UNIVERSITAS MERCU BUANA BANTUL,"Sedayu, Bantul",430000000,2,1,1,81,36,0.000396999,0.010204082,0,0,6.67E-05,2.99E-05,rumah murah siap huni dekat universitas mercu buana bantul,dayu bantul,dahayu residence lokasi argomulyo kec dayu kabupaten bantul yogyakarta 55752 rumah murah,rumah siap huni dekat sekolah,https://pic.rumah123.com/r123/720x420-crop/house/ho74/7472754/original/hos7472754-rumah-di-jual-di-gamping-sleman-16186927010638.jpg,https://www.rumah123.com/properti/sleman/hos7472754/
Rumah Klasik Modern Bisa Kpr Dekat Jalan Wates Km 12,"Sedayu, Bantul",520000000,2,1,1,72,48,0.000487454,0.010204082,0,0,5.92E-05,4.02E-05,rumah klasik modern kpr dekat jalan wates km 12,dayu bantul,rumah cantik murah pesan siap bangun custom 1 2 lantai sesuai ingin konsep klasik,rumah dekat akses transportasi dekat sekolah dekat fasilitas sehat,https://pic.rumah123.com/r123/720x420-crop/house/ho80/8086012/original/hos8086012-rumah-di-jual-di-umbulharjo-yogyakarta-1616811554674.jpg,https://www.rumah123.com/properti/yogyakarta/hos8086012/
Rumah Baru Siap Huni Di Sewon Bantul Dekat Kampus Isi,"Sewon, Bantul",495000000,2,1,1,87,45,0.000462328,0.010204082,0,0,7.17E-05,3.76E-05,rumah baru siap huni won bantul dekat kampus isi,won bantul,rumah siap huni rumah lokasi strategis tepi jalan kondisi baru harga murah kelas,rumah siap huni dekat akses transportasi dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/2023-12-21-23-59-18-d0770591-ea77-4a7d-9428-bbd04fc7eb45.jpg,https://www.rumah123.com/properti/sleman/hos15848008/
"Rumah Siap Huni, 15 Menit Ke Kampus Ugm Di Maguwoharjo","Depok, Sleman",12000000000,3,2,1,90,130,0.012025549,0.020408163,0.005319149,0,7.42E-05,0.000110257,rumah siap huni 15 menit kampus ugm maguwoharjo,depok sleman,rumah demang lokasi depok kab sleman yogyakarta rumah siap huni 2 lantai ring road,rumah siap huni dekat akses transportasi dekat pusat belanja,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/3081a4e1c319d883e99b3864ae95800a.jpg,https://www.rumah123.com/properti/sleman/hos18526442/
"Rumah Murah Siap Huni, Dalam Cluster Dekat Sekolah Budi Mulia","Kalasan, Sleman",775000000,3,2,1,105,70,0.000743745,0.020408163,0.005319149,0,8.67E-05,5.90E-05,rumah murah siap huni cluster dekat sekolah budi mulia,kalas sleman,rumah murah 6 menit sekolah budi mulia tajem maguwo sleman dalam cluster lingkung,rumah siap huni dekat akses transportasi dekat pusat belanja,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/857b80c6e61990e2272adc2b61be357e.jpg,https://www.rumah123.com/properti/sleman/hos18555418/
Rumah Baru Dalam Perumahan di Jalan Kaliurang Km 14 Dekat Uii,"Ngemplak, Sleman",1.37E+11,3,3,2,102,90,0.137658109,0.020408163,0.010638298,0.034482759,8.42E-05,7.61E-05,rumah baru rumah jalan kaliurang km 14 dekat uii,ngemplak sleman,rumah baru rumah jalan kaliurang km 14 sukoharjo dekat uii luas tanah 102 m2 luas,rumah dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/03de961e6d9de05222384a563ddc3f7c.jpg,https://www.rumah123.com/properti/sleman/hos17859995/
Rumah Baru Desain Mewah Dalam Perumahan di Jalan Kaliurang Km 6 Dekat Ugm,"Ngaglik, Sleman",25000000000,3,2,1,135,95,0.025091335,0.020408163,0.005319149,0,0.000111667,8.03E-05,rumah baru desain mewah rumah jalan kaliurang km 6 dekat ugm,ngaglik sleman,rumah baru desain mewah rumah jalan kaliurang km 6 dekat ugm luas tanah 135 m2 luas,rumah dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/fd5a41e460ebe4b3cee26b5f0914a412.jpg,https://www.rumah123.com/properti/sleman/hos18544273/
Rumah Baru Full Furniture di Sukoharjo Dekat Uii Jl Kaliurang,"Ngaglik, Sleman",690000000,2,1,1,90,50,0.000658315,0.010204082,0,0,7.42E-05,4.19E-05,rumah baru full furniture sukoharjo dekat uii jl kaliurang,ngaglik sleman,rumah baru full furniture sukoharjo dekat uii jl kaliurang km 12 luas tanah 90 m2 luas bangun,rumah full furnished dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/2024-07-08-03-14-21-47948c5e-9f0f-404a-9ed8-d2fda6d58913.jpg,https://www.rumah123.com/properti/sleman/hos17537176/
Rumah Baru Dalam Perumahan Jl Kaliurang Km 10 Dekat Pasar Gentan,"Ngaglik, Sleman",1.49E+11,3,3,2,131,145,0.149718834,0.020408163,0.010638298,0.034482759,0.000108333,0.000123077,rumah baru rumah jl kaliurang km 10 dekat pasar gentan,ngaglik sleman,rumah baru rumah jl kaliurang km 10 dekat pasar gentan uii luas tanah 131 m2 luas,rumah dekat pusat belanja dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/6bcb74006670813c2d9f4f1119d2a37e.jpg,https://www.rumah123.com/properti/sleman/hos18100428/
"Rumah Baru Full Furnished Dalam Perumahan di Jl Kaliurang Km 8,5","Ngaglik, Sleman",4000000000,5,5,2,188,300,0.003985065,0.040816327,0.021276596,0.034482759,0.000155833,0.000255556,rumah baru full furnished rumah jl kaliurang km 8 5,ngaglik sleman,rumah baru siap bangun full furnished rumah elit jl kaliurang km 8 5 dekat ugm luas,rumah full furnished dekat sekolah dekat tempat ibadah,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/100908b62a8e13522d23da4abcd8e903.jpg,https://www.rumah123.com/properti/sleman/hos17955266/
"Rumah Luas Dekat Kampus Uii di Jl Kaliurang Km 13, Sleman","Ngaglik, Sleman",1.15E+11,3,2,1,180,70,0.115546778,0.020408163,0.005319149,0,0.000149167,5.90E-05,rumah luas dekat kampus uii jl kaliurang km 13 sleman,ngaglik sleman,rumah luas dekat kampus uii jl kaliurang km 13 luas tanah 180 m2 luas bangun 70 m2 jumlah lantai,rumah dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/2024-07-21-11-58-47-2255c45b-f69e-4eff-8031-76f375bcc905.jpg,https://www.rumah123.com/properti/sleman/hos17651512/
Rumah Baru Dekat Budi Mulia Jl Tajem Wedomartani,"Ngemplak, Sleman",1.65E+11,3,3,1,130,130,0.165799802,0.020408163,0.010638298,0,0.0001075,0.000110257,rumah baru dekat budi mulia jl tajem wedomartani,ngemplak sleman,rumah baru jl tajem wedomartani dekat sekolah budi mulia luas tanah 130 m2 luas bangun 130,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/2e96041d3cd2592a7c4445d6161beadf.jpg,https://www.rumah123.com/properti/sleman/hos18526529/
Rumah Baru di Wedomartani Utara Sekolah Budi Mulia Jl Tajem,"Ngemplak, Sleman",1.67E+11,4,2,1,162,120,0.167809923,0.030612245,0.005319149,0,0.000134167,0.000101709,rumah baru wedomartani utara sekolah budi mulia jl tajem,ngemplak sleman,rumah baru desain kontemporer wedomartani utara sekolah budi mulia jl tajem luas tanah 162 m2,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/6027bc8ca1254948f58dc54b346032c3.jpg,https://www.rumah123.com/properti/sleman/hos18526558/
Rumah Baru Dalam Cluster di Wedomartani Dekat Budi Mulia Jl Tajem,"Maguwoharjo, Yogyakarta",899000000,3,3,2,103,100,0.000868372,0.020408163,0.010638298,0.034482759,8.50E-05,8.46E-05,rumah baru cluster wedomartani dekat budi mulia jl tajem,maguwoharjo yogyakarta,rumah baru cluster wedomartani dekat sekolah budi mulia jl tajem luas tanah 103 m luas,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/ce3837882e4eecd8464cde8f8f4da046.jpg,https://www.rumah123.com/properti/sleman/hos17859907/
Rumah Siap Huni di Wedomartani Utara Jogja Bay Maguwoharjo,"Maguwoharjo, Yogyakarta",13000000000,3,3,2,116,130,0.013030609,0.020408163,0.010638298,0.034482759,9.58E-05,0.000110257,rumah siap huni wedomartani utara jogja bay maguwoharjo,maguwoharjo yogyakarta,rumah siap huni wedomartani utara jogja bay maguwoharjo luas tanah 116 m luas bangun 130,rumah siap huni dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/880574/2023-08-30-00-17-35-8d0429ac-cd1d-4e8b-a6a0-6503041df9ba.jpg,https://www.rumah123.com/properti/yogyakarta/hos14623798/
Rumah Baru Siap Bangun Dalam Perumahan di Wedomartani Jl Tajem,"Ngemplak, Sleman",11000000000,3,3,2,102,90,0.011020488,0.020408163,0.010638298,0.034482759,8.42E-05,7.61E-05,rumah baru siap bangun rumah wedomartani jl tajem,ngemplak sleman,rumah baru siap bangun rumah wedomartani jl tajem dekat budi mulia luas tanah 102,rumah dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1802578/2024-07-27-04-37-08-7b7c99d6-9e76-4837-bbf0-14388ffef1aa.jpg,https://www.rumah123.com/properti/yogyakarta/hos17704917/
Rumah Baru Dalam Cluster Wedomartani Utara Jogja Bay Maguwoharjo,"Ngemplak, Sleman",897000000,3,2,1,90,65,0.000866362,0.020408163,0.005319149,0,7.42E-05,5.47E-05,rumah baru cluster wedomartani utara jogja bay maguwoharjo,ngemplak sleman,rumah baru cluster dekat sd model wedomartani utara jogja bay maguwoharjo luas tanah 90 m2,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1802578/2023-05-04-23-12-55-8c34b0ba-ebd3-4cb7-9377-e40ff6ad464b.jpg,https://www.rumah123.com/properti/yogyakarta/hos13599393/
Rumah Baru di Wedomartani Utara Jogja Bay Maguwoharjo,"Ngemplak, Sleman",875000000,3,2,1,120,70,0.000844251,0.020408163,0.005319149,0,9.92E-05,5.90E-05,rumah baru wedomartani utara jogja bay maguwoharjo,ngemplak sleman,rumah baru wedomartani utara jogja bay maguwoharjo luas tanah 120 m luas bangun 70 m jumlah,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1975061/e50a314a19d2bb5e614b518f1361f5f3.jpg,https://www.rumah123.com/properti/sleman/hos18085446/
Rumah Baru di Wedomartani Utara Jogja Bay Maguwoharjo,"Maguwoharjo, Yogyakarta",1.48E+11,4,4,2,116,130,0.148713774,0.030612245,0.015957447,0.034482759,9.58E-05,0.000110257,rumah baru wedomartani utara jogja bay maguwoharjo,maguwoharjo yogyakarta,rumah baru wedomartani utara jogja bay maguwoharjo luas tanah 116 m luas bangun 130 m jumlah,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1975061/2024-06-01-11-25-07-d2c456b4-f86f-4191-af91-76305dfd0e13.jpg,https://www.rumah123.com/properti/sleman/hos17255810/
Rumah Baru di Wedomartani Timur Uii Jl Kaliurang Km 13,"Ngemplak, Sleman",799000000,3,2,1,115,70,0.000767866,0.020408163,0.005319149,0,9.50E-05,5.90E-05,rumah baru wedomartani timur uii jl kaliurang km 13,ngemplak sleman,rumah baru wedomartani timur uii jl kaliurang km 13 luas tanah 115 m luas bangun 70 m jumlah,rumah dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/1975061/652e5da12a79e5c9e4ff94a2ffb3423f.jpg,https://www.rumah123.com/properti/sleman/hos18667379/
"RUMAH FULL FURNISHED, 15 MENIT KE KAMPUS UGM DI NGAGLIK","Ngaglik, Sleman",2.35E+11,4,4,2,123,145,0.236154036,0.030612245,0.015957447,0.034482759,0.000101667,0.000123077,rumah full furnished 15 menit kampus ugm ngaglik,ngaglik sleman,cozy ngaglik lokasi sinduharjo kec ngaglik kab sleman yogyakarta rumah mewah 2 lantai pinggir,rumah full furnished dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1975061/fe3f16469eb9aafcce9085ac08b78289.jpg,https://www.rumah123.com/properti/sleman/hos18667393/
"Rumah 2 Lantai, Mewah Murah Dekat Maguwoharjo, Sleman","Ngemplak, Sleman",1.65E+11,3,3,2,130,130,0.165799802,0.020408163,0.010638298,0.034482759,0.0001075,0.000110257,rumah 2 lantai mewah murah dekat maguwoharjo sleman,ngemplak sleman,pokoh mansion lokasi ngemplak kab sleman yogyakarta rumah mewah 2 lantai desain klasik modern,rumah dekat pusat belanja dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1975061/90457ec1385c2026d863cc922983cf11.jpg,https://www.rumah123.com/properti/sleman/hos18667412/
"Rumah 2 Lantai, Full Furnished Di Ngaglik, Sleman Dekat Uii","Ngaglik, Sleman",1.35E+11,3,3,1,88,120,0.135647988,0.020408163,0.010638298,0,7.25E-05,0.000101709,rumah 2 lantai full furnished ngaglik sleman dekat uii,ngaglik sleman,rumah 2 lantai full furnished ngaglik sleman dekat uii rumah baru 2 lantai siap huni desain,rumah full furnished siap huni dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/831061/eb0e9e33f88069b71842de7480444a57.jpg,https://www.rumah123.com/properti/sleman/hos18199465/
Rumah Baru Siap Huni Semifurnish Dekat Pasar Sleman,"Sleman, Sleman",750000000,3,2,2,130,60,0.000718618,0.020408163,0.005319149,0.034482759,0.0001075,5.04E-05,rumah baru siap huni semifurnish dekat pasar sleman,sleman sleman,smarthome lokasi triharjo kec sleman kab sleman yogyakarta rumah baru murah siap huni sleman,rumah full furnished siap huni dekat pusat belanja,https://picture.rumah123.com/r123-images/720x420-crop/customer/831061/57886e86ad73f93bfd0196604b1209f6.jpg,https://www.rumah123.com/properti/sleman/hos18233924/
Rumah Induk Homestay Syariah Di Banguntapan Bantul Bangunan Baru,"Banguntapan, Bantul",39000000000,9,9,1,330,400,0.039162182,0.081632653,0.042553191,0,0.000274167,0.000341026,rumah induk homestay syariah banguntapan bantul bangun baru,banguntapan bantul,rumah induk homestay banguntapan lokasi banguntapan kabupaten bantul yogyakarta harga 3 9m,rumah full furnished bebas banjir dekat akses transportasi,https://picture.rumah123.com/r123-images/720x420-crop/customer/831061/39fbde04c08da42de00ea202c76485f6.jpg,https://www.rumah123.com/properti/sleman/hos18652394/
Apartment Murah 400 Jt An Di Seturan Dekat Upn,"Depok, Sleman",465000000,1,1,1,26,26,0.000432176,0,0,0,2.08E-05,2.14E-05,apartment murah 400 jt an tur dekat upn,depok sleman,jual cepat bu apartment studio furnish tur sleman dekat banyak kampus nama pusat,rumah full furnished dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/831061/1da94213a58a77531a535a9b0deae7a4.jpg,https://www.rumah123.com/properti/sleman/hos17977847/
Rumah Murah 200 Jutaan Kondisi Bagus Dekat Candi Prambanan,"Prambanan, Sleman",250000000,2,1,1,60,40,0.000216088,0.010204082,0,0,4.92E-05,3.33E-05,rumah murah 200 juta kondisi bagus dekat candi prambanan,prambanan sleman,rumah paling murah utara prambanan kembang pesat siap huni jual cepat butuh uang,rumah siap huni dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/831061/68dc16bd79ffe08401f21885a5090ed6.jpg,https://www.rumah123.com/properti/sleman/hos18199401/
Rumah Murah Design Etnik Modern Di Prambanan,"Prambanan, Sleman",550000000,2,1,1,100,70,0.000517606,0.010204082,0,0,8.25E-05,5.90E-05,rumah murah design etnik modern prambanan,prambanan sleman,rumah design etnik modern prambanan rumah murah dal komplek rumah 8 menit candi prambanan,rumah dekat akses transportasi dekat tempat ibadah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1752647/2024-05-13-08-02-39-08b5fea3-6c1a-4a15-aaf3-af71a93cd762.jpg,https://www.rumah123.com/properti/sleman/hos17090767/
"DIJUAL RUMAH 2 LANTAI, SIAP HUNI DI GODEAN, SLEMAN","Godean, Sleman",1.62E+11,3,2,1,100,108,0.162784621,0.020408163,0.005319149,0,8.25E-05,9.15E-05,jual rumah 2 lantai siap huni godean sleman,godean sleman,sidoarum estate lokasi godean kab sleman yogyakarta jual rumah 2 lantai siap huni bangun,rumah siap huni bebas banjir dekat pusat belanja,https://picture.rumah123.com/r123-images/720x420-crop/customer/1927716/b1ebac8f85859b9da4dcceedf6affc6f.jpg,https://www.rumah123.com/properti/sleman/hos18557758/
Rumah Murah Tanah Luas Dekat Candi Prambanan,"Prambanan, Sleman",610000000,3,2,1,187,110,0.00057791,0.020408163,0.005319149,0,0.000155,9.32E-05,rumah murah tanah luas dekat candi prambanan,prambanan sleman,rumah solodiran lokasi prambanan sleman yogyakarta harga 610jt rumah baik siap huni tepi,rumah siap huni dekat akses transportasi dekat pusat belanja,https://picture.rumah123.com/r123-images/720x420-crop/customer/1506196/2024-05-30-02-15-32-a2f65a52-5110-4974-8d26-2bf3ae1aebab.jpg,https://www.rumah123.com/properti/sleman/hos17234518/
Rumah Cantik Tanah Luas Furnished Di Ngaglik Sleman Dekat Uii,"Ngaglik, Sleman",14000000000,3,3,2,136,110,0.01403567,0.020408163,0.010638298,0.034482759,0.0001125,9.32E-05,rumah cantik tanah luas furnished ngaglik sleman dekat uii,ngaglik sleman,scandi mansion lokasi ngaglik kab sleman yogyakarta rumah 2 lantai scandinavian style full,rumah full furnished bebas banjir dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1506196/2024-07-05-07-34-20-ae5683d2-9a18-4ba5-9f50-bc8d49b3bed5.jpg,https://www.rumah123.com/properti/sleman/hos17521815/
Rumah Murah 300 Jutaan Dp Ringan Free Semua Biaya di Sedayu,"Sedayu, Bantul",386000000,2,1,1,74,36,0.000352776,0.010204082,0,0,6.08E-05,2.99E-05,rumah murah 300 juta dp ringan free semua biaya dayu,dayu bantul,tentrem asri lokasi jl cahaya taman kaliurang argomulyo kec dayu kabupaten bantul daerah,rumah dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/1506196/2024-04-21-01-33-58-a581e20b-5bf3-491a-9e87-8b4ca3cdb72b.jpg,https://www.rumah123.com/properti/sleman/hos16918398/
"Rumah Murah, 6 Menit Ke Rsud Prambanan, Sleman","Prambanan, Sleman",480000000,2,1,1,97,52,0.000447252,0.010204082,0,0,8.00E-05,4.36E-05,rumah murah 6 menit rsud prambanan sleman,prambanan sleman,2 unit saja rumah murah harga bawah 500 juta area prambanan sleman akses mudah agenda survei,rumah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1927716/a89789d23cd43ec49813970f40bea52a.jpg,https://www.rumah123.com/properti/bantul/hos18335910/
Rumah Megah 2 Lantai Casagrande Maguwoharjo Dekat Pusat Jogja,"Depok, Sleman",11000000000,7,7,1,504,680,0.011020488,0.06122449,0.031914894,0,0.000419167,0.000580342,rumah megah 2 lantai casagrande maguwoharjo dekat pusat jogja,depok sleman,rumah mewah 2 lantai mediteran lux kolam renang pribadi rumah elite casa grande,rumah dekat sekolah dekat tempat ibadah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1506196/2024-07-07-07-56-57-c2dcea73-b2e3-4860-95c1-550c7803bea5.jpg,https://www.rumah123.com/properti/sleman/hos17534294/
Dijual Hunian 2 Lantai Nuansa Sejuk di Ambarketawang,"Mlati, Sleman",734000000,3,2,1,110,75,0.000702537,0.020408163,0.005319149,0,9.08E-05,6.32E-05,jual huni 2 lantai nuansa sejuk ambarketawang,mlati sleman,mau punya rumah desain scandinavian modern minimal kawasan luas barat,rumah dekat akses transportasi dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1506196/00858ce3470bce58339c36d6d180abe6.jpg,https://www.rumah123.com/properti/sleman/hos18035727/
Rumah Dalam Cluster New Verania Dekat Kampus Umy Dan Malioboro,"Sleman, Yogyakarta",23000000000,4,3,2,182,135,0.023081214,0.030612245,0.010638298,0.034482759,0.000150833,0.00011453,rumah cluster new verania dekat kampus umy malioboro,sleman yogyakarta,special oktober cluster new verania selang waterpark citragrand mutiara yogyakarta cluster,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1506196/a761b07d45481a1bd209d481401f7d66.jpg,https://www.rumah123.com/properti/bantul/hos17952533/
Dijual Rumah Lokasi Strategis Tengah Kota Tegalrejo Yogyakarta,"Tegalrejo, Yogyakarta",45000000000,4,5,1,350,200,0.045192544,0.030612245,0.021276596,0,0.000290834,0.000170086,jual rumah lokasi strategis tengah kota tegalrejo yogyakarta,tegalrejo yogyakarta,rumah 5 menit malioboro lokasi jalan tambak sumber ngestiharjo punya luas tanah,rumah dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1506196/d16a26294d4befc82275c9889a5e1c88.jpg,https://www.rumah123.com/properti/sleman/hos18360477/
